REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 4.000*energy)
N=12 hidden=10 K=3, 30 seeds x 150 gens, PSLIDE=0.150
compact conv = width -> K, coverage -> 1, shared-frac -> 1

SENSITIVITY  placement: objective 0.5200..0.8533 (span 0.3333) at energy 0.025000..0.025000
SENSITIVITY  width:     objective 0.3033..0.6867 (span 0.3833)

  arm             shared-frac  mean-w  max-w  coverage  energy   test
RAW 0 150 1 0.8333 9.9000 10.0000 1.0000 0.083333 0.8970
RAW 0 150 2 0.7500 3.2000 9.0000 1.0000 0.075000 0.7900
RAW 0 150 3 0.8333 5.3000 10.0000 1.0000 0.083333 0.8820
RAW 0 150 4 0.8333 2.5000 10.0000 1.0000 0.083333 0.8840
RAW 0 150 5 0.7500 5.5000 9.0000 1.0000 0.075000 0.7940
RAW 0 150 6 0.8333 3.7000 10.0000 1.0000 0.083333 0.8650
RAW 0 150 7 0.8333 8.3000 10.0000 1.0000 0.083333 0.9030
RAW 0 150 8 0.8333 4.8000 10.0000 1.0000 0.083333 0.9230
RAW 0 150 9 1.0000 11.7000 12.0000 1.0000 0.100000 0.9270
RAW 0 150 10 0.6667 2.3000 8.0000 1.0000 0.066667 0.8030
RAW 0 150 11 0.8333 8.2000 10.0000 1.0000 0.083333 0.9090
RAW 0 150 12 0.9167 10.8000 11.0000 1.0000 0.091667 0.8720
RAW 0 150 13 1.0000 9.4000 12.0000 1.0000 0.100000 0.9000
RAW 0 150 14 1.0000 9.2000 12.0000 1.0000 0.100000 0.8630
RAW 0 150 15 0.8333 9.3000 10.0000 1.0000 0.083333 0.8680
RAW 0 150 16 0.8333 8.9000 10.0000 1.0000 0.083333 0.8630
RAW 0 150 17 0.0833 1.0000 1.0000 1.0000 0.008333 0.6980
RAW 0 150 18 1.0000 2.4000 12.0000 1.0000 0.100000 0.8520
RAW 0 150 19 1.0000 2.5000 12.0000 1.0000 0.100000 0.8230
RAW 0 150 20 1.0000 6.4000 12.0000 1.0000 0.100000 0.9510
RAW 0 150 21 0.8333 8.0000 10.0000 1.0000 0.083333 0.9220
RAW 0 150 22 0.6667 2.9000 8.0000 1.0000 0.066667 0.7980
RAW 0 150 23 1.0000 10.6000 12.0000 1.0000 0.100000 0.8310
RAW 0 150 24 1.0000 2.7000 12.0000 1.0000 0.100000 0.8010
RAW 0 150 25 0.8333 4.1000 10.0000 1.0000 0.083333 0.9230
RAW 0 150 26 0.9167 8.6000 11.0000 1.0000 0.091667 0.9300
RAW 0 150 27 0.5000 2.6000 6.0000 1.0000 0.050000 0.7600
RAW 0 150 28 0.9167 10.0000 11.0000 1.0000 0.091667 0.9490
RAW 0 150 29 0.8333 4.1000 10.0000 1.0000 0.083333 0.8800
RAW 0 150 30 0.9167 8.0000 11.0000 1.0000 0.091667 0.9220
  0 no-rewire      0.951       5.99    10.06   0.838    0.1048   0.866
RAW 1 150 1 0.7500 1.6000 2.0000 1.0000 0.016667 0.8910
RAW 1 150 2 0.9167 1.7000 3.0000 1.0000 0.025000 0.8830
RAW 1 150 3 0.8333 1.9000 4.0000 1.0000 0.033333 0.9030
RAW 1 150 4 0.8333 2.0000 5.0000 1.0000 0.041667 0.8630
RAW 1 150 5 0.7500 1.6000 3.0000 1.0000 0.025000 0.8230
RAW 1 150 6 0.8333 1.6000 3.0000 1.0000 0.025000 0.8740
RAW 1 150 7 0.8333 2.0000 5.0000 1.0000 0.041667 0.9100
RAW 1 150 8 0.8333 2.1000 3.0000 1.0000 0.025000 0.8810
RAW 1 150 9 0.8333 2.2000 4.0000 1.0000 0.033333 0.8890
RAW 1 150 10 0.9167 1.9000 4.0000 1.0000 0.033333 0.9010
